running_saber11,running_sisben,eligible_spp,beneficiary_spp,spadies_any,icfes_educm1
7,32.64,1,1,1,1
-31,7.779999084472657,0,0,0,1
82,.0700006103515634,1,1,1,0
-26,-7.609999694824218,0,0,0,0
23,35.56000038146973,1,1,1,
-10,3.049999542236328,0,0,0,0
55,-2.510001220703124,0,0,0,0
27,-5.609999694824218,0,0,0,0
71,-10.77999786376953,0,0,0,0
105,-8.349997558593749,0,0,1,0
37,-12.98999755859375,0,0,1,0
72,-.089999237060546,0,0,1,0
57,24.12999816894531,1,0,0,0
49,14.54000091552734,1,1,1,0
40,-21.84999816894531,0,0,0,0
21,-17.73999755859375,0,0,0,0
-23,-7.150001220703125,0,0,1,0
9,-11.52999786376953,0,0,0,
57,8.739998779296876,1,0,0,0
12,-22.19000213623047,0,0,1,
28,-8.639998474121093,0,0,0,1
81,7.100000000000001,1,1,1,0
-7,38.61999923706055,0,0,0,0
47,6.020001373291016,1,1,1,0
18,28.82,1,0,0,1
55,-9.900000610351562,0,0,1,0
21,-10.80000213623047,0,0,0,0
70,3.730000457763673,1,0,1,0
39,-9.190001525878905,0,0,0,0
2,-8.410003356933593,0,0,0,0
27,16.65000183105469,1,1,1,0
40,-4.330000915527343,0,0,0,1
1,-2.060000457763671,0,0,1,0
72,-10.83000091552734,0,0,1,0
18,-16.34000305175781,0,0,1,0
-22,34.39999992370605,0,0,0,0
21,-5.539999999999999,0,0,0,0
16,32.51000000000001,1,1,1,0
9,-.360000305175781,0,0,0,0
36,-3.769999542236327,0,0,0,0
34,31.79,1,0,0,0
65,10.23000045776367,1,0,0,0
53,20.35,1,1,1,0
63,15.43000122070313,1,1,1,0
11,25.06,1,1,1,0
3,-1.069999389648437,0,0,1,0
97,.8799981689453134,1,1,1,0
70,-13.83000091552734,0,0,1,0
18,-15.55000213623047,0,0,1,0
35,-5.650000610351562,0,0,0,0
49,-2.299998321533202,0,0,0,0
20,-3.840000152587891,0,0,0,0
20,-6.339999237060546,0,0,0,0
-13,17.96999931335449,0,0,0,1
59,-.2099987792968747,0,0,0,0
1,-15.52000335693359,0,0,0,0
50,-2.060000457763671,0,0,1,0
46,-34.98000335693359,0,0,1,0
42,-13.16999725341797,0,0,1,0
31,-.5299984741210935,0,0,0,0
25,-20.48000244140625,0,0,1,0
18,-3.420001068115234,0,0,1,0
47,.5200013732910165,1,1,1,0
5,50,1,1,1,0
25,6.380000000000003,1,1,1,1
-18,6.400001831054688,0,0,0,0
50,-16.92999938964844,0,0,1,0
44,-15.34000305175781,0,0,0,0
35,-17.15000061035156,0,0,1,0
26,44.19999977111816,1,0,0,0
13,-17.38999908447266,0,0,0,0
38,-16.49999969482422,0,0,1,0
88,32.64000030517578,1,1,1,0
2,-16.44999664306641,0,0,1,0
28,-1.639998474121093,0,0,0,0
-17,37.50000030517578,0,0,0,0
52,-11.62999633789062,0,0,1,0
19,-5.199999847412109,0,0,0,0
-15,13.36000091552734,0,0,1,0
61,-7.900000610351562,0,0,1,0
-42,-11.83000152587891,0,0,1,0
15,27.86999984741211,1,0,1,0
48,-7.929999389648437,0,0,1,1
67,-16.37999694824219,0,0,1,0
8,-5.370001831054687,0,0,0,0
-3,34.23000045776367,0,0,0,0
-35,8.099998779296875,0,0,1,0
95,32.85999961853027,1,0,1,0
51,-7.989996948242187,0,0,1,0
34,-22.16000274658203,0,0,1,0
26,-18.66000274658203,0,0,0,0
62,-7.900000610351562,0,0,0,0
2,-21.35999969482422,0,0,0,0
-35,-.4500007629394531,0,0,0,0
111,-18.09000305175781,0,0,1,0
5,11.61000091552734,1,1,1,0
61,-7.039999999999999,0,0,0,0
60,-17.60999969482422,0,0,1,0
45,3.77999969482422,1,0,0,0
59,-25.05999725341797,0,0,0,0
22,23.61000152587891,1,0,0,1
14,-13.95999816894531,0,0,0,1
77,-12.19000213623047,0,0,1,0
26,30.37,1,1,1,0
82,16.77000076293945,1,1,1,0
-5,37.36999984741211,0,0,0,0
7,-21.61999893188477,0,0,0,0
32,7.340000457763672,1,1,1,0
28,-19.26999633789062,0,0,0,0
15,-10.15000061035156,0,0,1,0
31,-18.81000137329102,0,0,1,1
70,-4.139998474121093,0,0,1,0
2,29.95,1,1,1,0
96,39.06000038146973,1,0,1,0
-11,20.75999923706055,0,0,0,1
36,-15.99999969482422,0,0,0,0
32,-18.95000366210937,0,0,0,0
68,6.270001373291016,1,0,1,0
41,-8.179999389648437,0,0,1,0
26,26.91999908447266,1,0,0,0
3,30.27999908447266,1,0,0,0
23,-12.26000122070312,0,0,1,0
59,-12.18,0,0,0,0
0,-16.34000305175781,0,0,0,0
38,-17.60999969482422,0,0,1,0
18,16.4699983215332,1,1,1,0
57,-1.639998474121093,0,0,1,0
62,20.63,1,1,1,0
-6,42.54999954223633,0,0,1,1
-6,-7.120001831054687,0,0,0,1
11,-3.190001525878905,0,0,1,0
-32,41.87000019073486,0,0,0,0
75,.1700000000000017,1,1,1,0
13,-1.13000015258789,0,0,1,0
97,5.020001373291016,1,1,1,0
-1,13.72999984741211,0,0,1,0
28,-15.62000183105469,0,0,1,0
32,-4.850001373291015,0,0,0,0
4,11.94000053405762,1,0,0,0
49,-5.229999237060547,0,0,1,0
21,-10.16000335693359,0,0,0,0
91,6.470001525878907,1,1,1,
57,-5.089999237060546,0,0,1,0
4,23.3700008392334,1,1,1,1
61,6.180001220703126,1,0,1,0
60,-3.249999084472655,0,0,1,0
37,25.88000007629395,1,0,1,0
-27,12.77999908447266,0,0,1,1
-11,5.009999237060548,0,0,0,0
52,-12.80000274658203,0,0,1,0
-15,17.3100016784668,0,0,0,0
94,-16.48999694824219,0,0,1,0
50,-17.23999755859375,0,0,0,0
84,12.3,1,1,1,0
50,-7.900000610351562,0,0,1,0
66,-18.66000274658203,0,0,0,0
70,-2.889998474121093,0,0,1,0
57,-3.679999389648437,0,0,1,0
33,-11.73000244140625,0,0,0,0
14,-2.060000457763671,0,0,0,1
23,-14.47000091552734,0,0,0,0
55,-22.37999694824219,0,0,1,0
86,-14.01000183105469,0,0,0,0
91,-10.80999725341797,0,0,1,0
82,-7.270003356933593,0,0,1,0
8,3.590001068115235,1,1,1,0
79,-7.93,0,0,1,0
54,-3.540000610351562,0,0,0,1
59,-16.34000305175781,0,0,1,0
42,-4.420001068115234,0,0,0,0
35,.4599993896484378,1,0,0,0
7,19.14999862670899,1,0,1,0
10,-18.5099983215332,0,0,1,1
-84,22.13000137329102,0,0,0,1
20,17.64,1,1,1,0
77,-22.16999786376953,0,0,1,0
